ID,Name,Learning preference,Assessment 1,Assessment 2,Quiz 1,Quiz 2,Beginner lecture 1,Beginner lecture 2,Beginner lecture 3,Medium lecture 1,Medium lecture 2,Medium lecture 3,Advanced lecture 1,Advanced lecture 2,Advanced lecture 3,Beginner lesson 1,Beginner lesson 2,Beginner lesson 3,Medium lesson 1,Medium lesson 2,Medium lesson 3,Advanced lesson 1,Advanced lesson 2,Advanced lesson 3,Beginner hands-on 1,Beginner hands-on 2,Beginner hands-on 3,Medium hands-on 1,Medium hands-on 2,Medium hands-on 3,Advanced hands-on 1,Advanced hands-on 2,Advanced hands-on 3,Overall Score,Overall Performance
01HNCCSMC2GPAGY8VAZVWEK4J1,Alistair Danigel,Auditory,29,78,23,15,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,57.99999999999999,Average
01HNCCSMC62KPJAR9GFM2BX7HD,Taddeusz Reagan,Visual,57,76,24,11,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,67.2,Average
01HNCCSMC8H52BMRMTZN56X5HS,Lida Crighten,Kinesthetic,58,25,17,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,40.8,Poor
01HNCCSMC97MG06NKTQENMW76J,Chris Pennoni,Visual,66,76,24,4,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,68.0,Average
01HNCCSMCBF2AQHK2RBSNRY24R,Foster Chrisp,Kinesthetic,88,19,16,7,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,52.0,Average
01HNCCSMCCY8Y99W3AHFME4NQQ,Wittie Nussen,Kinesthetic,47,7,21,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,30.0,Poor
01HNCCSMCE08NWN9QS94MHYCFV,Timmie Moscrop,Auditory,56,57,2,15,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,52.0,Average
01HNCCSMCFZ9QZTWCPHH4TZJ21,Kizzee Huckell,Auditory,89,28,15,8,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,56.00000000000001,Average
01HNCCSMCHMXS9EG9DQHDBR24Q,Thaxter Fookes,Kinesthetic,43,54,3,11,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,44.4,Poor
01HNCCSMCJZ2CBR21PCATM3DA1,Ava Mowat,Auditory,78,57,1,3,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,55.60000000000001,Average
